name,latitude,longitude,bus,tram,strain,train,other
Aachener Str./Gürtel,50.936998,6.908552,140;172;173,1;7;13,,,
Ackerstr.,50.960729,7.017052,150,,,,
Adolf-Menzel-Str.,50.880393,7.01591,131;134,,,,
Adrian-Meller-Str.,50.963723,6.830283,145;172;962;967,,,,
Aeltgen-Dünwald-Str.,51.003599,7.024935,155;157,,,,
Akazienweg,50.960513,6.894241,,3;4,,,
Albin-Köbis-Straße,50.863196,7.093945,160,,,,
Alfred-Schütte-Allee,50.911729,6.984672,159,,,,
Alte Forststr.,50.915441,7.091087,154,,,,
Alte Römerstr.,51.056222,6.88331,120,,,,
Alte Str.,51.055457,6.854455,120,,,,
Alter Deutzer Postweg,50.9191,7.049934,151;152;191,,,,TaxiBus 191
Alter Flughafen Butzweilerhof,50.977602,6.89745,127,5,,,
Alter Militärring,50.93769,6.881746,141;143;144,1,,,
Altonaer Platz,50.993854,6.933362,,15,,,
Alzeyer Str.,50.97015,6.926818,127;147,,,,
Am Alten Güterbahnhof,50.951165,6.905999,139,,,,
Am Bilderstöckchen,50.973206,6.925344,121;127;140;147,,,,
Am Braunsacker,51.012147,6.861215,125;126,,,,
Am Coloneum,50.98927,6.892066,139,,,,
Am Eifeltor,50.87935,6.917118,138,,,,
Am Emberg,50.988811,7.029609,260,4,,,
Am Faulbach,50.978995,7.00284,153,,,,
Am Feldrain,50.997998,6.981095,151;152,,,,
Am Flachsrosterweg,50.983607,7.022391,,,,,TaxiBus 189
Am Grauen Stein,50.923837,6.991972,196,,,,
Am Hetzepetsch,51.014242,6.912507,122,,,,
Am Hochkreuz,50.902776,7.060281,151,,,,
Am Kreuzweg,50.868545,6.921712,192;935,,,,
Am Kölnberg,50.862917,6.92795,132;192;935,,,,
Am Leinacker,50.96455,7.06224,154,,,,
Am Lindenweg,50.951102,6.862662,144,,,,
Am Neuen Forst,50.875457,6.994983,135,,,,
Am Nordpark,51.002969,6.933137,122,,,,
Am Portzenacker,51.00421,7.029807,155;157,,,,
Am Schildchen,50.945519,7.069962,,,,,TaxiBus 187
Am Serviesberg,50.941969,6.8794,141;143,,,,
Am Springborn,50.977692,7.032531,155,,,,
Am Steinneuerhof,50.876554,6.938522,131,,,,
Am Vorgebirgstor,50.914983,6.94663,142,,,,
Am Weißen Mönch,50.998088,7.026212,155,,,,
Amsterdamer Str./Gürtel,50.970851,6.969067,124;140,13;16,,,
An Der Ronne,50.95076,6.82871,145;149;172,,,,
An Der Walkmühle,50.995904,7.0481,434,,,,
An Sankt Marien,50.863915,7.054402,164,,,,
An den Kaulen,51.06486,6.859884,120,,,,
